abbreviation|сокращение
ability|способность
abuse|оскорбление
access|доступ
accident|несчастный случай
action|действие
activity|деятельность
actor|актер
address|адрес
adjective|имя прилагательное
adult|взрослый
advantage|преимущество
adventure|приключение
adverb|наречие
advertisement|реклама
advice|совет
afternoon|после полудня
age|возраст
air|воздух
airplane|самолет
airport|аэропорт
alarm|тревога
alive|живой
amazing|удивительный
ambition|амбиция
amount|количество
anger|гнев
animal|животное
anniversary|юбилей
announcement|объявление
answer|ответ
April|апрель
architect|архитектор
architecture|архитектура
area|пространство
armchair|кресло
army|армия
arrest|арест
article|статья
assistance|поддержка
assistant|ассистент
astronaut|астронавт
atmosphere|атмосфера
attention|внимание
attitude|отношение
attraction|аттракцион
August|август
aunt|тетя
author|автор
autumn|осень
award|награда
